adb	5.0.2~6fe92d1a-r3	55.93 KiB	Android Debug Bridge (adb) is a versatile command line tool that lets you communicate with an emulator instance or connected Android-powered device.	
sms-tool	2023.09.21~1b6ca032-r1	8.36 KiB	SMS Tool for 3G/4G modem	
 
stubby	0.4.3-r1	20.49 KiB	This package contains the Stubby daemon (which utilizes the getdns library). See https://github.com/openwrt/packages/blob/master/net/stubby/files/README.md for more details.	
 
tcpdump-mini	4.99.5-r1	144.35 KiB	Network monitoring and data acquisition tool (minimal version)	
 
terminfo	6.4-r2	9.26 KiB	Terminal Info Database (ncurses)	
 
ubi-utils	2.2.1-r1	79.33 KiB	Utilities for manipulating memory technology devices.	
 
uboot-envtools	2024.07-r1	15.39 KiB	This package includes tools to read and modify U-Boot bootloader environment.	
 
ubox	2024.04.26~85f10530-r1	16.36 KiB	OpenWrt system helper toolbox	
 
ubus	2024.10.20~252a9b0c-r1	6.15 KiB	OpenWrt RPC client utility	
 
ubusd	2024.10.20~252a9b0c-r1	11.47 KiB	OpenWrt RPC daemon	
 
uci	2023.08.10~5781664d-r1	7.16 KiB	Utility for the Unified Configuration Interface (UCI)	
 
uclient-fetch	2024.10.22~88ae8f20-r1	8.38 KiB	Tiny wget replacement using libuclient	
 
